axis	vector_id	adapter	lib_version	expected_struct_hex	actual_struct_hex	struct_verdict	struct_notes	expected_msg_hex	actual_msg_hex	msg_verdict	msg_notes
aes_gcm_nonce_construction	aes-gcm-a128-12byte-iv	lib_go_cose	1.3.0	8368456e63727970743043a1010140	8368456e63727970743043a1010140	PASS		d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
aes_gcm_nonce_construction	aes-gcm-a128-12byte-iv	lib_pycose	1.1.0	8368456e63727970743043a1010140	8368456e63727970743043a1010140	PASS		d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461	d08343a10101a1054c000000000000000000000000581f8be526eaeadea936a0b79d7b82d6e0ee0bb8894f250a55d25d73edc5b68fe6	DIVERGE	actual=d08343a10101a1054c000000000000000000000000581f8be526eaeadea936a0b79d7b82d6e0ee0bb8894f250a55d25d73edc5b68fe6 expected=d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461
aes_gcm_nonce_construction	aes-gcm-a256-12byte-iv	lib_go_cose	1.3.0	8368456e63727970743043a1010340	8368456e63727970743043a1010340	PASS		d0834443a10103a1054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
aes_gcm_nonce_construction	aes-gcm-a256-12byte-iv	lib_pycose	1.1.0	8368456e63727970743043a1010340	8368456e63727970743043a1010340	PASS		d0834443a10103a1054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461	d08343a10103a1054caaaaaaaaaaaaaaaaaaaaaaaa581f509718465c77835c4b474e8d916eb965330cc35f075efcf2aad68008675338	DIVERGE	actual=d08343a10103a1054caaaaaaaaaaaaaaaaaaaaaaaa581f509718465c77835c4b474e8d916eb965330cc35f075efcf2aad68008675338 expected=d0834443a10103a1054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461
aes_gcm_nonce_construction	aes-gcm-iv-in-protected	lib_go_cose	1.3.0	8368456e63727970743051a20101054cbbbbbbbbbbbbbbbbbbbbbbbb40	8368456e63727970743051a20101054cbbbbbbbbbbbbbbbbbbbbbbbb40	PASS		d0835251a20101054cbbbbbbbbbbbbbbbbbbbbbbbba04f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
aes_gcm_nonce_construction	aes-gcm-iv-in-protected	lib_pycose	1.1.0	8368456e63727970743051a20101054cbbbbbbbbbbbbbbbbbbbbbbbb40	8368456e63727970743051a20101054cbbbbbbbbbbbbbbbbbbbbbbbb40	PASS		d0835251a20101054cbbbbbbbbbbbbbbbbbbbbbbbba04f636970686572746578745f64617461	d08351a20101054cbbbbbbbbbbbbbbbbbbbbbbbba0581fd5537d38715dabf6afb286370d3baa8579e21a756c96a8355ca576b2a62286	DIVERGE	actual=d08351a20101054cbbbbbbbbbbbbbbbbbbbbbbbba0581fd5537d38715dabf6afb286370d3baa8579e21a756c96a8355ca576b2a62286 expected=d0835251a20101054cbbbbbbbbbbbbbbbbbbbbbbbba04f636970686572746578745f64617461
cose_encrypt0_message_construction	encrypt0_a128gcm_basic	lib_go_cose	1.3.0	8368456e63727970743043a1010140	8368456e63727970743043a1010140	PASS		d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_a128gcm_basic	lib_pycose	1.1.0	8368456e63727970743043a1010140	8368456e63727970743043a1010140	PASS		d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461	d08343a10101a1054c000000000000000000000000581f91b646804410eb50447362b14277c152c20f22381740281fdf275dcc9342b5	DIVERGE	actual=d08343a10101a1054c000000000000000000000000581f91b646804410eb50447362b14277c152c20f22381740281fdf275dcc9342b5 expected=d0834443a10101a1054c0000000000000000000000004f636970686572746578745f64617461
cose_encrypt0_message_construction	encrypt0_a256gcm_in_protected	lib_go_cose	1.3.0	8368456e63727970743043a1010340	8368456e63727970743043a1010340	PASS		d0834443a10103a04f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_a256gcm_in_protected	lib_pycose	1.1.0	8368456e63727970743043a1010340	8368456e63727970743043a1010340	PASS		d0834443a10103a04f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_chacha20	lib_go_cose	1.3.0	8368456e63727970743044a101181840	8368456e63727970743044a101181840	PASS		d0834544a1011818a04f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_chacha20	lib_pycose	1.1.0	8368456e63727970743044a101181840		NOT_SUPPORTED	adapter returned None (no structure extraction)	d0834544a1011818a04f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_empty_protected	lib_go_cose	1.3.0	8368456e6372797074304040	8368456e6372797074304040	PASS		d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_empty_protected	lib_pycose	1.1.0	8368456e6372797074304040	8368456e6372797074304040	PASS		d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461	d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa581fb2124f5f91fa697177d9b40b1e711285edff251be1f3f2a767ddb06d359dab	DIVERGE	actual=d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa581fb2124f5f91fa697177d9b40b1e711285edff251be1f3f2a767ddb06d359dab expected=d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461
cose_encrypt0_message_construction	encrypt0_kid_in_protected	lib_go_cose	1.3.0	8368456e63727970743047a201010442abcd40	8368456e63727970743047a201010442abcd40	PASS		d0834847a201010442abcda1054c0000000000000000000000004179		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_kid_in_protected	lib_pycose	1.1.0	8368456e63727970743047a201010442abcd40	8368456e63727970743047a201010442abcd40	PASS		d0834847a201010442abcda1054c0000000000000000000000004179	d08347a201010442abcda1054c000000000000000000000000513bfbe54b3e0fe558a9a7ca92fd0dc79692	DIVERGE	actual=d08347a201010442abcda1054c000000000000000000000000513bfbe54b3e0fe558a9a7ca92fd0dc79692 expected=d0834847a201010442abcda1054c0000000000000000000000004179
cose_kdf_context	kdf_context_ecdh_es_hkdf256	lib_go_cose	1.3.0	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	84f9ce40a16131784030313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031a1613178403032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303258200000000000000000000000000000000000000000000000000000000000000000	SPEC_VIOLATION	length mismatch: actual=176 expected=109	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_kdf_context	kdf_context_ecdh_es_hkdf256	lib_pycose	1.1.0	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	PASS		843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	PASS	
cose_mac0_message_construction	mac0_hmac256_in_protected	lib_go_cose	1.3.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_hmac256_in_protected	lib_pycose	1.1.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000	d18443a10105a0477061796c6f616458207f8a73ed4fa09cbc2852567bc83579ffb7d5954cb9aad2961930ef9d5c4c83e1	DIVERGE	actual=d18443a10105a0477061796c6f616458207f8a73ed4fa09cbc2852567bc83579ffb7d5954cb9aad2961930ef9d5c4c83e1 expected=d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000
cose_mac0_message_construction	mac0_hmac384_in_protected	lib_go_cose	1.3.0	84644d41433043a1010640477061796c6f6164	84644d41433043a1010640477061796c6f6164	PASS		d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_hmac384_in_protected	lib_pycose	1.1.0	84644d41433043a1010640477061796c6f6164	84644d41433043a1010640477061796c6f6164	PASS		d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d18443a10106a0477061796c6f616458301029b584018ce193d3be20de02ac38895948000022b10df89c1d23c43df753825f58654ad519251af062521bdb1cae5f	DIVERGE	actual=d18443a10106a0477061796c6f616458301029b584018ce193d3be20de02ac38895948000022b10df89c1d23c43df753825f58654ad519251af062521bdb1cae5f expected=d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
