META|runtime=10.0.11|os=Microsoft Windows 10.0.26100|arch=X64|mlkemSupported=True|backing=CNG
valid-control|ML-KEM-512|pass|seed:20262824|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262825|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262826|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262827|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262828|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262829|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262830|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262831|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262832|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262833|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262834|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262835|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262836|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262837|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262838|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262839|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262840|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262841|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262842|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262843|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262844|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262845|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262846|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262847|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262848|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262849|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262850|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262851|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262852|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262853|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262854|import-accepted|encap-accepted
valid-control|ML-KEM-512|pass|seed:20262855|import-accepted|encap-accepted
noncanon-q3329-first|ML-KEM-512|fail-modulus|seed:779000+coeff[0]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-first|ML-KEM-512|fail-modulus|seed:779000+coeff[0]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-first|ML-KEM-512|fail-modulus|seed:779000+coeff[0]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-q3329-middle|ML-KEM-512|fail-modulus|seed:779000+coeff[256]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-middle|ML-KEM-512|fail-modulus|seed:779000+coeff[256]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-middle|ML-KEM-512|fail-modulus|seed:779000+coeff[256]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-q3329-last|ML-KEM-512|fail-modulus|seed:779000+coeff[511]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-last|ML-KEM-512|fail-modulus|seed:779000+coeff[511]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-last|ML-KEM-512|fail-modulus|seed:779000+coeff[511]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
len-minus-1|ML-KEM-512|fail-type|derived:len-1|import-rejected|arg-class:ArgumentException
len-plus-1|ML-KEM-512|fail-type|derived:len+1|import-rejected|arg-class:ArgumentException
rho-zero|ML-KEM-512|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-ff|ML-KEM-512|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-a|ML-KEM-512|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-b|ML-KEM-512|pass|derived:rho-mutation|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263824|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263825|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263826|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263827|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263828|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263829|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263830|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263831|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263832|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263833|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263834|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263835|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263836|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263837|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263838|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263839|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263840|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263841|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263842|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263843|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263844|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263845|import-accepted|encap-accepted
